timestamp,event_type,lights_NS,lights_EW,emergency,vehicle_count,avg_wait_time,response_time_ms,weather,task_states
2026-01-18 11:53:40.566,METRICS_UPDATE,GREEN,RED,False,20,35.5936523099533,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:53:46.095,METRICS_UPDATE,GREEN,RED,False,20,33.81047561252582,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:53:50.530,PEDESTRIAN_REQUEST,GREEN,RED,False,20,33.81047561252582,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:53:51.637,PEDESTRIAN_REQUEST,GREEN,RED,False,20,33.81047561252582,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:53:51.638,METRICS_UPDATE,GREEN,RED,False,20,34.1360991542138,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:53:57.188,METRICS_UPDATE,GREEN,RED,False,20,39.93655266284673,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:54:01.621,PEDESTRIAN_REQUEST,GREEN,RED,False,20,39.93655266284673,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:54:02.726,METRICS_UPDATE,GREEN,RED,False,20,38.00327584312597,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:54:08.260,METRICS_UPDATE,GREEN,RED,False,20,38.26562221129288,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:54:10.475,PEDESTRIAN_REQUEST,GREEN,RED,False,20,38.26562221129288,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:54:13.813,METRICS_UPDATE,GREEN,RED,False,20,24.712782443904015,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:54:14.916,PEDESTRIAN_REQUEST,GREEN,RED,False,20,24.712782443904015,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:54:19.345,METRICS_UPDATE,GREEN,RED,False,20,32.34117907336829,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:54:24.881,METRICS_UPDATE,GREEN,RED,False,20,33.87929925217763,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:54:30.421,METRICS_UPDATE,GREEN,RED,False,20,31.095131184094743,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:54:32.635,PEDESTRIAN_REQUEST,GREEN,RED,False,20,31.095131184094743,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:54:35.953,METRICS_UPDATE,GREEN,RED,False,20,29.078763414951514,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:54:40.377,PEDESTRIAN_REQUEST,GREEN,RED,False,20,29.078763414951514,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:54:41.491,METRICS_UPDATE,GREEN,RED,False,20,35.50874229212027,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:54:47.036,PEDESTRIAN_REQUEST,GREEN,RED,False,20,35.50874229212027,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:54:47.036,METRICS_UPDATE,GREEN,RED,False,20,31.800019632018284,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:54:52.569,METRICS_UPDATE,GREEN,RED,False,20,34.08496271731986,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:54:58.107,METRICS_UPDATE,GREEN,RED,False,20,42.02400118858452,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:55:00.317,WEATHER_CHANGE,GREEN,RED,False,20,42.02400118858452,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:55:03.638,METRICS_UPDATE,GREEN,RED,False,20,38.63996127033735,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:55:09.167,METRICS_UPDATE,GREEN,RED,False,20,28.945142698115433,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:55:14.696,PEDESTRIAN_REQUEST,GREEN,RED,False,20,28.945142698115433,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:55:14.697,METRICS_UPDATE,GREEN,RED,False,20,34.01651191185562,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:55:20.234,METRICS_UPDATE,GREEN,RED,False,20,35.88731265720746,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:55:23.561,PEDESTRIAN_REQUEST,GREEN,RED,False,20,35.88731265720746,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:55:25.779,METRICS_UPDATE,GREEN,RED,False,20,28.405814832617114,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:55:26.885,PEDESTRIAN_REQUEST,GREEN,RED,False,20,28.405814832617114,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
2026-01-18 11:55:30.216,PEDESTRIAN_REQUEST,GREEN,RED,False,20,28.405814832617114,0.0,CLEAR,"{""NormalControl"": ""RUNNING"", ""EmergencyHandler"": ""BLOCKED"", ""Pedestrian"": ""READY"", ""TrafficMonitor"": ""RUNNING"", ""WeatherSensor"": ""RUNNING""}"
